Time (h),Batch ID,Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K)
0.2,1,1.0178000000000001e-25,6.4472,298.22
0.4,1,0.001,6.4932,298.17
0.6,1,0.00099934,6.5425,298.14
0.8,1,0.00099874,6.5753,298.11
1.0,1,0.00099821,6.5825,298.09
1.2,1,0.00099771,6.5717,298.08
1.4,1,0.00099722,6.5521,298.07
1.6,1,0.00099674,6.5287,298.06
1.8,1,0.00099627,6.5061,298.06
2.0,1,0.0009958,6.4844,298.05
2.2,1,0.0009953,6.4728,298.05
2.4,1,0.00099477,6.4764,298.05
2.6,1,0.00099421,6.4915,298.05
2.8,1,0.00099363,6.51,298.05
3.0,1,0.00099306,6.5233,298.05
3.2,1,0.00099251,6.5239,298.06
3.4,1,0.00099198,6.5122,298.06
3.6,1,0.00099147,6.4945,298.06
3.8,1,0.00099095,6.4808,298.06
4.0,1,0.00099039,6.4791,298.06
4.2,1,0.00098981,6.4889,298.06
4.4,1,0.00098922,6.5052,298.07
4.6,1,0.00098863,6.5188,298.07
4.8,1,0.00098806,6.5223,298.07
5.0,1,0.00098753,6.5126,298.08
5.2,1,0.00098702,6.4954,298.08
5.4,1,0.00098651,6.4821,298.08
5.6,1,0.00098597,6.4792,298.09
5.8,1,0.0009854,6.4876,298.09
6.0,1,0.00098481,6.5015,298.08
6.2,1,0.00098423,6.5145,298.08
6.4,1,0.00098366,6.5194,298.09
6.6,1,0.00098312,6.5144,298.09
6.8,1,0.00098259,6.5012,298.09
7.0,1,0.00098207,6.4886,298.08
7.2,1,0.00098153,6.482,298.08
7.4,1,0.00098096,6.4855,298.08
7.6,1,0.00098037,6.4951,298.08
7.8,1,0.00097977,6.5054,298.08
8.0,1,0.00097918,6.5128,298.09
8.2,1,0.00097861,6.5144,298.09
8.4,1,0.00097805,6.5086,298.1
8.6,1,0.00097751,6.4976,298.1
8.8,1,0.00097695,6.488,298.11
9.0,1,0.00097638,6.4845,298.12
9.2,1,0.00097579,6.4847,298.12
9.4,1,0.00097518,6.4889,298.13
9.6,1,0.00097454,6.4957,298.14
9.8,1,0.00097391,6.5042,298.15
10.0,1,0.00097327,6.5089,298.15
10.2,1,0.00097265,6.5082,298.15
10.4,1,0.00097204,6.5039,298.15
10.6,1,0.00097143,6.498,298.14
10.8,1,0.00097082,6.4931,298.14
